"SequenceNum","English","Chinese","Section"
"1","How long have you been living here？","你在这里住了多久了？","日常交流"
"2","Do you have any special plans for the","weekend？你固末有什么特别的计划吗？","日常交流"
"3","Would you mind taking a picture of","us？你介意帮我们拍张照片吗？","日常交流"
"4","Can you speak a little slower,","please？你能说慢一点吗？","日常交流"
"5","Could you tell me what this word","means？你能告诉我这个词是什么意思吗？","日常交流"
"6","What's the best way to learn more about the local","culture？学习更多当地文化的最佳方式是什么？","日常交流"
"7","How can l get in touch with you？","我怎样能跟你联络上？","日常交流"
"8","How is it","going？情况怎么样？","日常交流"
"9","Where are you","going？你去哪儿？","日常交流"
"10","What's on your","mind？你在想什么呢？","日常交流"
"11","Something's come up.","发生了一些事。","日常交流"
"12","Long time no see.","好久不见。","日常交流"
"13","lt's been a long time.","好久不见了。","日常交流"
"14","Are you","married？你结婚了吗？","日常交流"
"15","Did you have a good day","today？你今天过得好吗？","日常交流"
"16","Did you have a nice","holiday？你假期过得愉快吗？","日常交流"
"17","Did you have","fun？你玩得开心吗？","日常交流"
"18","Please leave me alone.","请别打扰我。","日常交流"
"19","I wasn't aware of that.","我没有意识到。","日常交流"
"20","You can say that again.","我同意。","日常交流"
"21","You will be better off.","你的状况会好起来的。","日常交流"
"22","Kill two birds with one","stone.一举两得。","日常交流"
"23","I wasn't born yesterday.","我又不是三岁小孩。","日常交流"
"24","It's a nice day today.","今天天气很好。","日常交流"
"25","lt's a once in a lifetime chance.","这是一生难得的机会。","日常交流"
"26","Please accept my apology.","请接受我的道歉。","日常交流"
"27","Better luck next","time.祝你下一次好还。","日常交流"
"28","I have a complaint.","我要投诉。","日常交流"
"29","He is in conference.","他正在升会。","日常交流"
"30","1wish","Icould.但愿我能。","日常交流"
"31","You should give it a try.","你应该试一试。","日常交流"
"32","lt slipped my mind.","我不留神忘了。","日常交流"
"33","Let's find out.","我们去回一下吧。","日常交流"
"34","You should take advantage of it.","你应该好好利用这个机会。","日常交流"
"35","You've made a good choice.","你的眼力不错。","日常交流"
"36","That's ridiculous.","那太荒唐了。","日常交流"
"37","How long did it","last？持续了多久？","日常交流"
"38","I'm on a diet.","我正在节食。","日常交流"
"39","That couldn't be better.","那再好不过了。","日常交流"
"40","That sounds like a good idea.","那听上去是个好主意。","日常交流"
"41","Can Ihave a day off？","我能请一天假吗？","日常交流"
"42","Can ltake a","message？要我传话吗？","日常交流"
"43","Can I take a rain","check？你能改天再请我吗？","日常交流"
"44","May I have a receipt？","我可以要一张收据吗？","日常交流"
"45","Can lhave a word with you？","我能跟你谈一谈吗？","日常交流"
"46","Don't take any chances.","不要存侥幸心理。","日常交流"
"47","Don't make any mistakes.","别出差错。","日常交流"
"48","What's the","deadline？截止到什么时候？","日常交流"
"49","I know the","feeling.我知道那种感觉。","日常交流"
"50","Let's hope for the best.","让我们往好处想。","日常交流"
"51","Don't take it for granted.","不要想当然。","日常交流"
"52","What's the matter with","you？你怎么啦？","日常交流"
"53","Just to be on the safe side.","为安全起见。","日常交流"
"54","Maybe some other time.","也许下一次吧。","日常交流"
"55","What's the purpose of your","visit？你来访的目的是什么？","日常交流"
"56","I feel the same way.","我也有同感。","日常交流"
"57","All I have to do is learn English.","我所要做的就是学英语","日常交流"
"58","Don't give up.","别放弃。","日常交流"
"59","Let's make up.","让我们言归于好吧。","日常交流"
"60","That's the way I look at it, too.","我也是这么想。","日常交流"
"61","That's the way it is.","就是这么回事。","日常交流"
"62","Where were","we？我们说到哪儿了？","日常交流"
"63","What's the weather","like？天气怎么样？","日常交流"
"64","Where have you","been？你去哪儿了？","日常交流"
"65","May I have your name,","please？请问你叫什么名字？","日常交流"
"66","First come, first served.","捷足先登。","日常交流"
"67","Forgive me.","请原谅我。","日常交流"
"68","Let me see.","让我想一想。","日常交流"
"69","I'm broke.","我身无分又。","日常交流"
"70","Do you speak","English？你会说英语吗？","日常交流"
"71","I'm not really sure.","我不太清楚。","日常交流"
"72","Is this seat","taken？这位子有人坐吗？","日常交流"
"73","Let's celebrate!","让我们好好庆祝一下吧!","日常交流"
"74","lt's a piece of cake.","这很容易。","日常交流"
"75","Im pressed for time.","我赶时间。","日常交流"
"76","I was moved. =Iwas touched.","我很受感动。","日常交流"
"77","It's incredible.","令人难以置信/不可思议。","日常交流"
"78","I'm not feeling","well.我感觉不舒服。","日常交流"
"79","I can't believe it.","我简直不敢相信。","日常交流"
"80","I can't","tell.我说不准。","日常交流"
"81","I've had enough.","我已经吃饱了。","日常交流"
"82","lt's better than nothing.","总比没有好。","日常交流"
